SERVICE,MILSTAT,NOMARR2,LVLDIFMEM2,LVLDIFCARE2,IRSEX,IREDUHIGHST2,SEXAGE,HEALTH2,EDUSCKMON,EDUSKPMON,WRKDRGPOL,WRKDRGEDU,WRKTSTALC,WRKTSTRDM,WRKOKPREH,WRKOKRAND,WRKSTATWK2,IMOTHER,IFATHER,IRHH65_2,IRFAMSOC,IRFAMSSI,IRFSTAMP,IRFAMPMT,IRFAMSVC,IRPINC3,GOVTPROG,BOOKED,BKSRVIOL,BKSMASLT,BKPOSTOB,BKDRVINF,BKDRUG,PNRNMLAS1,OPINMMON,FUPNRNM18,OPINMYR
2,99,1,1,1,1,8,5,1.0,99,99,99,99,99,99,99,99,9,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,8,5,4.0,99,99,1,1,2,99,1,1,1,4,4,1,2,2,2,2,2,4,2,1,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,2,5,2,2.0,0,0,2,2,2,99,3,3,2,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,1,4,1,2.0,99,99,99,99,99,99,99,99,9,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,10,5,3.0,99,99,1,2,2,99,3,3,2,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,3,1,4.0,2,0,99,99,99,99,99,99,99,1,1,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,8,5,1.0,99,99,99,99,99,99,99,99,9,4,4,1,2,1,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,2.0,99,99,1,1,2,99,1,1,1,4,4,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,99,99,99,99,99,99,8,4,4,3,1,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,11,5,4.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,10,5,2.0,99,99,1,2,94,94,3,3,1,4,4,1,2,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,9,5,3.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,5,2.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,2,1,1,1,8,5,2.0,99,99,99,99,99,99,99,99,8,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,2,2,1,1,10,5,3.0,99,99,99,99,99,99,99,99,8,4,4,3,1,1,2,2,2,3,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,3,1.0,0,0,1,2,94,94,3,2,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,9,5,2.0,99,99,2,1,2,1,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,3,2.0,99,99,1,1,2,2,3,2,1,4,4,1,2,2,1,2,2,4,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,9,5,2.0,99,99,1,2,2,1,3,3,1,4,4,1,2,2,2,2,2,7,2,1,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,2,4,2,1.0,0,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,8,5,2.0,99,99,1,1,2,2,3,3,1,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,7,5,1.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,8,4,3.0,99,99,1,2,2,2,1,1,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,2,2,6,5,4.0,99,99,99,99,99,99,99,99,5,4,4,1,2,2,1,2,2,1,1,1,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,2,6,2,3.0,99,99,99,99,99,99,99,99,9,1,2,1,2,1,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,7,5,4.0,1,1,99,99,99,99,99,99,9,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,2.0,99,99,1,2,2,2,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,11,5,3.0,0,0,1,1,1,1,1,1,1,4,4,1,2,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,2,1,8,3,2.0,99,99,2,2,2,99,3,3,2,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,4,1,1.0,99,99,99,99,99,99,99,99,99,1,1,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,1.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,5,2.0,99,99,99,99,99,99,99,99,4,4,4,1,2,1,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,4,3,2.0,99,99,2,2,2,99,1,1,3,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,2,1,1,10,5,3.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,5,2,2,99,99,99,99,99,5,0.0,2.0,1.0
2,99,1,1,1,2,11,5,2.0,99,99,97,97,97,97,97,97,98,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,2.0,99,99,99,99,99,99,99,99,8,4,4,2,1,1,2,2,2,7,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,4,2.0,99,99,1,1,2,99,2,2,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,2,7,2,2.0,15,6,2,2,2,99,3,3,2,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,10,5,3.0,99,99,94,2,2,99,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,9,5,3.0,99,99,99,99,99,99,99,99,8,4,4,1,2,2,2,2,2,5,2,1,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,2,10,5,2.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,1,1,2,1,1,1,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,3.0,99,99,1,2,2,99,3,2,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,3.0,99,99,1,2,1,1,2,2,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,2,1,1,2,9,5,2.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,9,4,3.0,99,99,1,2,2,2,3,2,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,6,5,3.0,99,99,99,99,99,99,99,99,4,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,8,3,3.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,4,3.0,99,99,2,2,2,99,2,2,2,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,2.0,99,99,1,2,94,98,1,1,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,11,4,3.0,99,99,2,2,2,99,3,2,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,3,4.0,99,99,99,99,99,99,99,99,9,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,9,5,3.0,99,99,1,2,2,1,1,1,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,2.0,99,99,1,1,1,2,1,1,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,8,4,4.0,99,99,2,2,2,99,3,3,2,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,10,5,3.0,99,99,2,2,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,1,3,1,1,11,5,4.0,99,99,99,99,99,99,99,99,8,4,4,2,1,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,2,2,2,1.0,94,94,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,8,4,2.0,99,99,2,2,2,99,2,2,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,3.0,99,99,1,1,2,99,1,1,3,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,1,1,11,3,2.0,99,99,1,1,2,2,1,2,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,2,1,1,2,8,5,3.0,99,99,99,99,99,99,99,99,4,4,4,1,2,1,1,2,2,2,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,3.0,99,99,99,99,99,99,99,99,5,4,4,1,2,1,1,2,2,2,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,10,5,2.0,99,99,99,99,99,99,99,99,8,4,4,2,1,2,2,2,2,7,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,1,1,1,1,11,5,3.0,99,99,1,2,2,2,1,1,1,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,1,1,2,1,9,5,1.0,99,99,99,99,99,99,99,99,8,4,4,3,1,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,5,3.0,99,99,99,99,99,99,99,99,8,4,4,2,1,2,1,2,2,2,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,1,9,5,3.0,99,99,1,1,1,2,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,1,2,7,2,2.0,3,1,1,2,2,1,3,3,2,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,9,5,2.0,99,99,1,2,2,2,1,1,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,3,2,2,2,5,4.0,99,99,99,99,99,99,99,99,5,4,4,1,2,2,2,2,2,3,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,4,1,1.0,0,0,1,1,2,99,2,2,2,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,7,5,4.0,99,99,1,2,1,1,1,1,1,4,4,1,2,2,1,2,2,6,1,1,2,1,99,2,1,5,0.0,2.0,1.0
99,99,99,1,1,2,2,2,1.0,1,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,9,3,2.0,0,2,2,2,2,99,3,2,1,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,3,2.0,99,99,99,99,99,99,99,99,4,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,2,2,9,4,2.0,99,99,2,2,2,99,2,2,2,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,5,0.0,2.0,1.0
99,99,99,1,1,2,1,2,2.0,1,97,99,99,99,99,99,99,99,1,1,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,2,1,8,5,3.0,99,99,1,1,1,1,1,1,3,4,4,2,1,2,2,2,1,2,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,8,3,2.0,99,99,1,1,2,2,1,3,4,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,1,1,1,1,10,5,3.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,2,4,2,1.0,5,0,99,99,99,99,99,99,9,1,1,2,1,2,2,2,2,1,2,2,99,99,99,99,99,98,0.0,2.0,1.0
2,99,99,98,98,1,8,3,1.0,99,99,1,2,2,99,2,2,1,4,4,1,2,2,2,2,2,4,2,98,98,98,99,98,98,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,3.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
1,3,1,2,1,1,11,5,4.0,99,99,99,99,99,99,99,99,8,4,4,3,1,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,4,1,2.0,99,99,99,99,99,99,99,99,99,2,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,9,4,2.0,2,0,2,2,2,99,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,2,5,2,3.0,2,2,99,99,99,99,99,99,9,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,3,1,1,3,1,2.0,12,1,99,99,99,99,99,99,99,2,2,3,1,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,6,5,3.0,99,99,99,99,99,99,99,99,8,4,4,3,1,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,7,1,2.0,3,3,99,99,99,99,99,99,9,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,10,1.0,2.0,1.0
2,99,1,2,1,2,11,5,2.0,99,99,2,2,2,99,3,3,2,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,9,5,3.0,99,99,2,2,2,99,1,1,2,4,4,1,2,2,2,2,2,4,2,1,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,1,1,2,1,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,5,2.0,99,99,2,2,2,99,2,2,1,4,4,3,1,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,2,8,5,2.0,99,99,99,99,99,99,99,99,8,4,4,2,1,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,9,5,3.0,99,99,1,1,2,2,3,3,1,4,4,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,1,8,5,2.0,99,99,2,2,2,99,2,2,1,4,4,1,2,2,2,2,2,3,2,1,2,2,99,2,2,91,0.0,2.0,0.0
99,99,99,1,1,2,4,2,2.0,2,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,3,2.0,99,99,2,1,2,99,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,2,6,2,3.0,0,0,99,99,99,99,99,99,7,1,2,1,2,2,1,2,2,1,1,97,97,97,97,97,97,91,0.0,2.0,0.0
2,99,99,1,1,2,11,4,2.0,99,99,1,2,2,99,3,3,1,4,4,3,1,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,3,1.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,1,1,1,2,10,5,2.0,99,99,1,2,1,2,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,1,2,2,99,3,3,2,4,4,3,1,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,1,4,1,3.0,90,99,99,99,99,99,99,99,99,1,1,2,2,1,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,1,2,10,4,2.0,0,3,99,99,99,99,99,99,7,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,1,5,1,1.0,98,98,98,98,98,98,98,98,98,2,2,2,1,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,2,1,2,2,5,2.0,99,99,99,99,99,99,99,99,9,4,4,3,1,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,3,2.0,99,99,2,1,2,1,3,2,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,5,5,4.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,2,1,9,3,4.0,0,0,1,1,2,1,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,3.0,99,99,1,2,2,2,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,3,1,1.0,0,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,6,1,3.0,0,0,2,2,2,99,3,3,3,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,8,5,3.0,99,99,99,99,99,99,99,99,8,4,4,3,1,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,4,2.0,99,99,1,1,1,1,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,9,5,1.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,1,2,94,94,1,1,2,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,5,2.0,99,99,99,99,99,99,99,99,8,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,8,4,4.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,1,2,2,2,1,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,2,1,1,2,4,5,1.0,99,99,99,99,99,99,99,99,9,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,3,2,2,4,2,2.0,99,99,99,99,99,99,99,99,99,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,98,0.0,2.0,0.0
99,99,99,2,1,2,4,2,3.0,90,99,99,99,99,99,99,99,99,1,1,1,2,2,1,2,2,1,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,11,5,3.0,99,99,99,99,99,99,99,99,8,4,4,3,1,1,2,2,2,7,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,2.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,2,2,9,4,4.0,99,99,99,99,99,99,99,99,9,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,6,1,2.0,99,99,2,2,1,2,3,3,2,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,2,11,5,2.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,11,5,2.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,2,9,4,1.0,0,0,1,1,1,94,1,1,2,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,2,1,3,1,3.0,0,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,99,1,1,2,7,2,3.0,90,99,99,99,99,99,99,99,4,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,10,5,1.0,99,99,1,1,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,11,5,1.0,99,99,2,2,2,99,2,2,1,4,4,1,2,2,2,2,2,7,2,1,99,99,99,99,99,93,0.0,2.0,0.0
2,99,99,2,1,2,8,4,3.0,99,99,2,2,2,99,2,3,4,4,4,1,1,1,1,1,1,1,1,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,1,1,1,1,9,5,1.0,99,99,2,2,2,99,1,1,1,4,4,2,1,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,8,5,2.0,99,99,2,2,2,99,1,1,2,4,4,2,1,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,2,11,5,3.0,99,99,1,2,2,99,2,2,1,4,4,1,2,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,2,11,5,2.0,99,99,1,1,1,2,3,3,1,4,4,1,2,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,2,1,1,6,5,2.0,99,99,1,2,2,99,1,1,1,4,4,3,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,3,3,1,5,1,3.0,0,0,94,94,2,99,2,2,2,1,2,1,2,2,1,2,2,1,1,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,99,94,94,1,8,3,3.0,98,98,98,98,98,98,98,98,98,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,2,9,5,4.0,0,0,1,2,1,1,1,1,1,4,4,1,2,2,2,2,2,6,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,2,2,9,4,4.0,0,0,99,99,99,99,99,99,4,4,4,1,2,2,2,2,2,1,2,1,99,99,99,99,99,7,0.0,2.0,1.0
99,99,99,2,3,2,2,2,3.0,94,1,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,2,1,2,8,5,2.0,99,99,99,99,99,99,99,99,8,4,4,2,1,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,1,1,2,6,5,1.0,99,99,1,2,2,99,3,3,1,4,4,2,1,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,8,5,2.0,99,99,1,1,2,99,3,2,1,4,4,1,2,2,2,2,2,5,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,3,1,7,3,3.0,99,99,99,99,99,99,99,99,5,4,4,2,1,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,2,2,2,2.0,0,0,99,99,99,99,99,99,99,1,2,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,1,1,1,1,3,3.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,1,1,1,3,1,2.0,0,0,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,2,2,2,99,99,99,99,99,93,0.0,2.0,0.0
2,99,99,1,1,2,9,4,3.0,0,0,2,2,2,99,3,3,2,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,1.0,99,99,99,99,99,99,99,99,6,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,2,1,1,9,3,2.0,0,0,1,2,2,99,3,3,3,4,4,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
99,99,99,2,1,1,2,1,2.0,90,99,99,99,99,99,99,99,99,1,1,1,2,2,2,2,2,1,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,99,3,2,2,9,4,4.0,99,99,99,99,99,99,99,99,4,4,4,1,2,2,1,2,2,3,1,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,1,9,5,1.0,99,99,1,1,1,1,1,1,1,4,4,1,1,2,2,2,2,4,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,1,1,1,2,11,5,2.0,99,99,1,2,2,99,3,3,1,4,4,1,2,2,2,2,2,7,2,2,99,99,99,99,99,91,0.0,2.0,0.0
2,99,2,2,1,1,8,5,2.0,99,99,1,2,2,99,1,1,1,4,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,91,0.0,2.0,0.0
